2.50E-02	3.37E+08
4.99E-02	1.74E+10
7.49E-02	1.56E+10
9.99E-02	9.33E+09
1.25E-01	5.90E+09
1.50E-01	4.31E+09
1.75E-01	3.45E+09
2.00E-01	2.78E+09
2.25E-01	2.03E+09
2.50E-01	1.83E+09
2.75E-01	1.68E+09
3.00E-01	1.47E+09
3.25E-01	1.15E+09
3.50E-01	1.09E+09
3.75E-01	1.03E+09
4.00E-01	7.59E+08
4.24E-01	8.75E+08
4.49E-01	8.17E+08
4.74E-01	6.59E+08
4.99E-01	6.12E+08
5.24E-01	1.00E+09
5.49E-01	4.94E+08
5.74E-01	5.14E+08
5.99E-01	4.90E+08
6.24E-01	4.64E+08
6.49E-01	4.90E+08
6.74E-01	4.19E+08
6.99E-01	3.50E+08
7.24E-01	4.24E+08
7.49E-01	3.86E+08
7.74E-01	3.99E+08
7.99E-01	3.55E+08
8.24E-01	3.79E+08
8.49E-01	3.22E+08
8.74E-01	2.83E+08
8.99E-01	3.04E+08
9.24E-01	2.62E+08
9.49E-01	2.86E+08
9.74E-01	3.02E+08
9.99E-01	2.36E+08
1.02E+00	2.65E+08
1.05E+00	1.98E+08
1.07E+00	2.40E+08
1.10E+00	2.62E+08
1.12E+00	2.32E+08
1.15E+00	2.71E+08
1.17E+00	2.34E+08
1.20E+00	2.25E+08
1.22E+00	1.69E+08
1.25E+00	2.40E+08
1.27E+00	4.69E+08
1.30E+00	2.60E+08
1.32E+00	1.85E+08
1.35E+00	1.94E+08
1.37E+00	1.91E+08
1.40E+00	2.00E+08
1.42E+00	2.03E+08
1.45E+00	1.87E+08
1.47E+00	1.72E+08
1.50E+00	1.81E+08
1.52E+00	1.79E+08
1.55E+00	1.96E+08
1.57E+00	1.76E+08
1.60E+00	1.57E+08
1.62E+00	1.50E+08
1.65E+00	1.37E+08
1.67E+00	1.71E+08
1.70E+00	1.48E+08
1.72E+00	1.63E+08
1.75E+00	1.57E+08
1.77E+00	1.64E+08
1.80E+00	1.34E+08
1.82E+00	1.66E+08
1.85E+00	1.68E+08
1.87E+00	1.37E+08
1.90E+00	1.54E+08
1.92E+00	1.52E+08
1.95E+00	1.94E+08
1.97E+00	1.67E+08
2.00E+00	1.19E+08
2.02E+00	1.38E+08
2.05E+00	1.51E+08
2.07E+00	1.41E+08
2.10E+00	1.82E+08
2.12E+00	1.60E+08
2.15E+00	1.41E+08
2.17E+00	1.35E+08
2.20E+00	1.55E+08
2.22E+00	1.42E+08
2.25E+00	4.66E+09
2.27E+00	5.08E+07
2.30E+00	4.89E+07
2.32E+00	4.57E+07
2.35E+00	5.43E+07
2.37E+00	6.75E+07
2.40E+00	5.96E+07
2.42E+00	8.36E+07
2.45E+00	6.13E+07
2.47E+00	4.27E+07
2.50E+00	6.22E+07
2.52E+00	5.45E+07
2.55E+00	5.29E+07
2.57E+00	7.46E+07
2.60E+00	6.88E+07
2.62E+00	6.31E+07
2.65E+00	4.81E+07
2.67E+00	5.29E+07
2.70E+00	3.81E+07
2.72E+00	5.54E+07
2.75E+00	5.52E+07
2.77E+00	6.26E+07
2.80E+00	6.18E+07
2.82E+00	4.37E+07
2.85E+00	4.68E+07
2.87E+00	5.49E+07
2.90E+00	4.64E+07
2.92E+00	3.87E+07
2.95E+00	3.70E+07
2.97E+00	4.53E+07
3.00E+00	3.95E+07
3.02E+00	3.66E+07
3.05E+00	4.33E+07
3.07E+00	5.61E+07
3.10E+00	4.49E+07
3.12E+00	4.90E+07
3.15E+00	3.80E+07
3.17E+00	4.39E+07
3.20E+00	5.34E+07
3.22E+00	3.03E+07
3.25E+00	3.60E+07
3.27E+00	6.42E+07
3.30E+00	2.83E+07
3.32E+00	5.09E+07
3.35E+00	3.97E+07
3.37E+00	2.62E+07
3.40E+00	4.65E+07
3.42E+00	4.03E+07
3.45E+00	3.99E+07
3.47E+00	4.73E+07
3.50E+00	4.15E+07
3.52E+00	4.33E+07
3.55E+00	1.74E+08
3.57E+00	4.05E+07
3.60E+00	3.56E+07
3.62E+00	2.95E+07
3.65E+00	2.83E+07
3.67E+00	3.16E+07
3.70E+00	5.77E+08
3.72E+00	2.62E+07
3.75E+00	1.78E+07
3.77E+00	2.71E+07
3.80E+00	2.31E+07
3.82E+00	2.33E+07
3.85E+00	1.31E+07
3.87E+00	3.50E+07
3.90E+00	2.97E+07
3.92E+00	2.44E+07
