    0.199881708621978760E+01   -0.135124432676793219E+03   -0.851719318474945908E+01    1
    0.199870932102203369E+01   -0.135122046910286087E+03   -0.851739318474962737E+01    1
    0.199858987331390381E+01   -0.135119402731169799E+03   -0.851759318474962157E+01    1
    0.199813556671142578E+01   -0.135109348004366581E+03   -0.851779318474949143E+01    1
    0.199801433086395264E+01   -0.135106665378238716E+03   -0.851799318474956735E+01    1
    0.199789905548095703E+01   -0.135104114863682042E+03   -0.851819318474962905E+01    1
    0.199770665168762207E+01   -0.135099858334655039E+03   -0.851839318474945451E+01    1
    0.199766743183135986E+01   -0.135098990751967307E+03   -0.851859318474965477E+01    1
    0.199764823913574219E+01   -0.135098566199370850E+03   -0.851879318474973601E+01    1
    0.199761855602264404E+01   -0.135097909605014735E+03   -0.851899318474948153E+01    1
    0.199741220474243164E+01   -0.135093345484899004E+03   -0.851919318474950948E+01    1
    0.199605071544647217E+01   -0.135063249195308629E+03   -0.851939318474960494E+01    1
    0.199564099311828613E+01   -0.135054198031387301E+03   -0.851959318474955651E+01    1
    0.199505388736724854E+01   -0.135041233069078970E+03   -0.851979318474971237E+01    1
    0.199456954002380371E+01   -0.135030541537148054E+03   -0.851999318474986111E+01    1
    0.199434661865234375E+01   -0.135025622034406524E+03   -0.852019318474979492E+01    1
    0.199355065822601318E+01   -0.135008063130714135E+03   -0.852039318474958840E+01    1
    0.199347400665283203E+01   -0.135006372740974086E+03   -0.852059318474959326E+01    1
    0.199256420135498047E+01   -0.134986316213031188E+03   -0.852079318474960523E+01    1
    0.199169445037841797E+01   -0.134967155301436094E+03   -0.852099318474942535E+01    1
    0.199162471294403076E+01   -0.134965619496296512E+03   -0.852119318474941068E+01    1
    0.199078989028930664E+01   -0.134947240624292419E+03   -0.852139318474963936E+01    1
    0.199011123180389404E+01   -0.134932308131424122E+03   -0.852159318474963889E+01    1
    0.198955559730529785E+01   -0.134920088123864957E+03   -0.852179318474949277E+01    1
    0.198922753334045410E+01   -0.134912875414351845E+03   -0.852199318474956513E+01    1
    0.198827660083770752E+01   -0.134891978436554751E+03   -0.852219318474966236E+01    1
    0.198826563358306885E+01   -0.134891737514458924E+03   -0.852239318474959617E+01    1
    0.198703444004058838E+01   -0.134864703864706684E+03   -0.852259318474945538E+01    1
    0.198640537261962891E+01   -0.134850900806227457E+03   -0.852279318474961300E+01    1
    0.198640155792236328E+01   -0.134850817123461468E+03   -0.852299318474960366E+01    1
    0.198577964305877686E+01   -0.134837177391666273E+03   -0.852319318474951970E+01    1
    0.198510062694549561E+01   -0.134822292530063038E+03   -0.852339318474974128E+01    1
    0.198496770858764648E+01   -0.134819379677767188E+03   -0.852359318474980654E+01    1
    0.198481249809265137E+01   -0.134815978667029526E+03   -0.852379318474953429E+01    1
