bi,,kr,,po,,c14,,c11,
X,Y,X,Y,X,Y,X,Y,X,Y
117.43119266055055,0.04990145486353976,721.1009174311926,0.00013791853696023133,258.7155963302753,0.00013436986684370742,148.62385321100925,770.5351461530533,728.4403669724769,0.000130912504682397
190.82568807339453,0.04736654395750488,699.0825688073395,0.0003525086767600917,262.38532110091745,0.0004946973940874868,163.30275229357807,209.29300664290935,765.1376146788991,0.0005784477697320297
277.06422018348627,0.040508594014569646,666.0550458715595,0.0011392099607392694,278.89908256880733,0.00847816543618626,181.651376146789,31.213295409471158,809.1743119266055,0.002555919490805916
456.88073394495416,0.026694088399894,623.8532110091742,0.0035868811038079085,300.9174311926606,0.07977867010935023,192.66055045871565,6.364636204416526,880.7339449541283,0.00870207138350209
570.6422018348625,0.018532095446625207,583.4862385321101,0.00784042532217511,322.9357798165138,0.7705351461530541,205.50458715596335,0.4819687363028775,983.48623853211,0.018055261115595612
699.0825688073395,0.010719849279561443,530.2752293577981,0.015043832544351269,346.7889908256881,2.623420600469244,200,1.6842831130116642,1117.43119266055,0.022829193334233305
866.0550458715596,0.003878637975417567,433.02752293577987,0.03041017139801386,381.65137614678895,5.443134383763511,220.18348623853217,0.07002982141902907,1229.3577981651374,0.021111947726166272
961.4678899082568,0.0015575888520180626,365.1376146788991,0.03845082481652764,418.34862385321105,2.623420600469244,227.52293577981652,0.010175298766472777,1343.1192660550455,0.016697117733158746
1045.8715596330276,0.0005349360749679851,258.7155963302753,0.044960402309182065,442.20183486238534,0.7705351461530541,236.697247706422,0.002021437775803506,1515.5963302752289,0.00804748873375088
1102.7522935779816,0.00019354967786231115,163.30275229357807,0.04861748096453889,456.88073394495416,0.293713919153959,244.03669724770646,0.00028615660430215343,1620.1834862385317,0.003981071705534973
1130.2752293577978,0.00011195837949180658,121.10091743119273,0.04990145486353976,471.559633027523,0.07977867010935023,,,1713.761467889908,0.0015987243323368552
,,,,484.4036697247707,0.031213295409471223,,,1781.6513761467886,0.0007313932423587093
,,,,495.41284403669715,0.00870207138350209,,,,
,,,,510.09174311926597,0.0017744207349554226,,,,
,,,,521.1009174311927,0.0003525086767600917,,,,
,,,,528.440366972477,0.00013791853696023133,,,,
