# Data from TUNL CsI-Na QF measurement presented in arXiv:1708.01294 [nucl-ex]
# Released as part of COHERENT Collaboration data release for this publication
# To convert nuclear-recoil energy X to electron-equivalent energy, multiply X by the quenching factor value here
# This data includes asymmetric errors. The interpretation of these should be that, e.g., the QF value at +1sigma is given by mean QF + hi error on QF
# Note that the horizontal and vertical errors are correlated, and this is not accounted for here
# Column definitions
# Mean nuclear recoil energy, asymmetric hi error on rec. energy, lo error on rec. energy, Quenching factor, hi error on QF, lo error on QF
# keVnr, keVnr, keVnr, no units, no units, no units
41.60499945282936, 2.5009997189044952, 2.933797687292099, 0.09893901332310652, 0.0010538994613019804, 0.0010449562706348994
36.139000207185745, 2.073001116514206, 2.46220126748085, 0.09959528140554225, 0.0009576610745618208, 0.0009520647678866551
57.581499218940735, 3.455982059240334, 4.721298515796661, 0.08915106423510898, 0.0018278402868382151, 0.0017889117881101342
52.8004989027977, 3.203500807285309, 3.696698695421219, 0.09394845103191178, 0.0012532089124050077, 0.0012315458009558486
5.446999799460173, 0.5169999785721302, 0.502999871969223, 0.08506789233228702, 0.0012441943608283667, 0.0013548005732585422
11.7790000513196, 0.8998803049325943, 0.9970003738999367, 0.09915053211011401, 0.000867256001442873, 0.0008638618052260428
3.4459999296814203, 0.3900001756846905, 0.3599999472498894, 0.08647405437742796, 0.0008102055139337558, 0.0008123129818103527
24.57999996840954, 1.6453607380390167, 1.8029995262622833, 0.10407813765915942, 0.0011531127782529128, 0.0011412638129795454
64.85500186681747, 4.231196641921997, 5.153800547122955, 0.08845052185251408, 0.0019692781634625045, 0.0019176381858992742
8.349999785423279, 0.6870003417134285, 0.7119998335838318, 0.09436083769641795, 0.0007752878662671698, 0.0007759762733923899
16.005500219762325, 1.1667392775416374, 1.4167002588510513, 0.10017110890546017, 0.001215009428566754, 0.0012086115370519674
25.17399936914444, 1.600600853562355, 1.8611586093902588, 0.10406804766861345, 0.0014713551891645026, 0.00146270729006426
