# This file provides PRELIMINARY data points described in manuscript
# arXiv:2006.09721v2 "Observation of Excess Electronic Recoil Events in XENON1T” 
# and are made available by the XENON collaboration.
#
# This manuscript has not yet been peer reviewed and may therefore change as a result of 
# the peer review process. The data points are provided as a courtesy to the community. 
# 
# Data points from Fig. 4: Binned ER spectrum for SR1 below 30 keV
# energy [keV],rate [events/(tonne year keV)],rate uncertainty [events/(tonne year keV)]

1.5,40.16625653788144,7.877250995178123
2.5,94.23621726195259,12.065711234898922
3.5,84.96708113782611,11.456958883405099
4.5,72.60823297232413,10.590999285185207
5.5,75.69794501369962,10.813992144814232
6.5,72.60823297232413,10.590999285185207
7.5,67.9736649102609,10.247415551485556
8.5,63.33909684819765,9.891905029409777
9.5,61.794240827509896,9.770527364794967
10.5,57.15967276544666,9.396992317345042
11.5,78.78765705507512,11.032478704145062
12.5,63.33909684819765,9.891905029409777
13.5,64.88395286888539,10.0118112864515
14.5,78.78765705507512,11.032478704145062
15.5,72.60823297232413,10.590999285185207
16.5,74.15308899301188,10.70307647283942
17.5,37.07654449650594,7.568217953502948
18.5,66.42880888957315,10.130298384557724
19.5,64.88395286888539,10.0118112864515
20.5,52.52510470338341,9.007981141092392
21.5,64.88395286888539,10.0118112864515
22.5,61.794240827509896,9.770527364794967
23.5,58.704528786134404,9.52313208649848
24.5,81.87736909645062,11.24672159372342
25.5,63.33909684819765,9.891905029409777
26.5,88.0567931792016,11.663407182523697
27.5,60.24938480682215,9.647622757008698
28.5,71.06337695163639,10.4777233087221
29.5,54.06996072407116,9.139491471790505
