   -0.110373268723487854E+02   -0.114491460323333740E+02   -0.123822625386820462E+03
   -0.790659677982330322E+01   -0.132138538360595703E+02   -0.123659219366420203E+03
   -0.119500557780265808E+02   -0.149593775272369385E+02   -0.123459567892344083E+03
   -0.119546435475349426E+02   -0.149152007102966309E+02   -0.123459567892335428E+03
   -0.119686476588249207E+02   -0.148889830112457275E+02   -0.123459567892332387E+03
   -0.119510478973388672E+02   -0.148661637306213379E+02   -0.123459567892321246E+03
   -0.118796761035919189E+02   -0.149181580543518066E+02   -0.123459567892315377E+03
   -0.119981859326362610E+02   -0.147953279018402100E+02   -0.123459567892313260E+03
   -0.118939490318298340E+02   -0.148476450443267822E+02   -0.123459567892294089E+03
   -0.119844041466712952E+02   -0.147451527118682861E+02   -0.123459567892287808E+03
   -0.117700202465057373E+02   -0.149322931766510010E+02   -0.123459567892276169E+03
   -0.119167031049728394E+02   -0.147602837085723877E+02   -0.123459567892261347E+03
   -0.116940317749977112E+02   -0.149737746715545654E+02   -0.123459567892257255E+03
   -0.119112129211425781E+02   -0.147513904571533203E+02   -0.123459567892252736E+03
   -0.116673837304115295E+02   -0.149923553466796875E+02   -0.123459567892252394E+03
   -0.117339457273483276E+02   -0.149185891151428223E+02   -0.123459567892247676E+03
   -0.118402383923530579E+02   -0.147820396423339844E+02   -0.123459567892226076E+03
   -0.118068970441818237E+02   -0.148121550083160400E+02   -0.123459567892223973E+03
   -0.118237773776054382E+02   -0.147872235774993896E+02   -0.123459567892217621E+03
   -0.116460139751434326E+02   -0.149473538398742676E+02   -0.123459567892204319E+03
   -0.119976658821105957E+02   -0.145980620384216309E+02   -0.123459567892200013E+03
   -0.116521753072738647E+02   -0.149302687644958496E+02   -0.123459567892194869E+03
   -0.119655747413635254E+02   -0.146073465347290039E+02   -0.123459567892180573E+03
   -0.115882448554039001E+02   -0.149597144126892090E+02   -0.123459567892161942E+03
   -0.117185465693473816E+02   -0.148162925243377686E+02   -0.123459567892147305E+03
   -0.116331658959388733E+02   -0.148712744712829590E+02   -0.123459567892111806E+03
   -0.119987691640853882E+02   -0.145020697116851807E+02   -0.123459567892091940E+03
   -0.117877195477485657E+02   -0.146999385356903076E+02   -0.123459567892087719E+03
   -0.119033272266387939E+02   -0.145779061317443848E+02   -0.123459567892073480E+03
   -0.115364278554916382E+02   -0.149099748134613037E+02   -0.123459567892027849E+03
   -0.116246650815010071E+02   -0.148163778781890869E+02   -0.123459567892018370E+03
   -0.114280293583869934E+02   -0.149876532554626465E+02   -0.123459567891973535E+03
   -0.116861445903778076E+02   -0.147101795673370361E+02   -0.123459567891932878E+03
   -0.116965101361274719E+02   -0.146860704421997070E+02   -0.123459567891902779E+03
   -0.116503221988677979E+02   -0.147313516139984131E+02   -0.123459567891901756E+03
   -0.113822807073593140E+02   -0.149982814788818359E+02   -0.123459567891901031E+03
   -0.116830311417579651E+02   -0.146895093917846680E+02   -0.123459567891880099E+03
   -0.118435392975807190E+02   -0.145261828899383545E+02   -0.123459567891863657E+03
   -0.115228865742683411E+02   -0.148400301933288574E+02   -0.123459567891859379E+03
   -0.115909217000007629E+02   -0.147633566856384277E+02   -0.123459567891837310E+03
   -0.113690204620361328E+02   -0.149765136241912842E+02   -0.123459567891815979E+03
   -0.114368675351142883E+02   -0.148780598640441895E+02   -0.123459567891729321E+03
   -0.118043486475944519E+02   -0.145136475563049316E+02   -0.123459567891724816E+03
   -0.119573844671249390E+02   -0.143708057403564453E+02   -0.123459567891715736E+03
   -0.115731717348098755E+02   -0.147372865676879883E+02   -0.123459567891714315E+03
   -0.113917983770370483E+02   -0.149138689041137695E+02   -0.123459567891700829E+03
   -0.117484263777732849E+02   -0.145532555580139160E+02   -0.123459567891678631E+03
   -0.116089544892311096E+02   -0.146905264854431152E+02   -0.123459567891678589E+03
   -0.119710083007812500E+02   -0.143451905250549316E+02   -0.123459567891666524E+03
